monthly_income,existing_obligations,loan_amount,annual_interest_rate,tenure_years,credit_score,employment_years,previous_defaults,foir,emi,total_obligations,remaining_income,default
68818.13140699078,30329.81274828533,567548.2743024408,19.439122578780218,4,610.1797958903893,24.7333185355569,0,44.07241540592647,17101.552658613673,47431.365406899,21386.766000091782,0
37575.48016553259,6563.249966449595,1268568.559698021,9.200514419110368,6,690.2211644412171,4.140342608143717,0,17.466842572699747,22993.077960625942,29556.327927075537,8019.152238457049,0
84103.45097605049,38722.968795817025,963648.2778441927,19.654247697461606,3,623.0004470625412,7.770274831634775,0,46.04206884072317,35643.08309659645,74366.05189241347,9737.399083637021,1
91615.33630700676,12694.841679777956,1991010.732664672,19.851684204777698,7,644.1622280962864,1.714607022551896,0,13.856677486001928,44035.14531789749,56729.98699767545,34885.34930933131,1
24937.65044035623,5729.095049996424,1739829.7182011318,14.728557995169671,4,689.3394880439321,1.133393839760325,1,22.973676143623837,48181.70678169119,53910.80183168761,-28973.151391331383,0
33393.58394698934,8366.355213584504,1099367.4756224586,11.989264753534638,6,797.8516195150772,7.1910250468756285,0,25.053780471319513,21486.708940784814,29853.06415436932,3540.51979262002,0
63552.90722555374,12695.025196691051,1636065.577867483,8.103616086054714,4,594.2595718859715,4.282800064659089,0,19.975522365382144,40020.76403801356,52715.789234704615,10837.117990849125,1
52041.18350834412,2689.408061225073,412559.5016308428,8.186060113845551,7,702.0807809944789,5.2490942721172305,0,5.167845694350634,6468.55070336567,9157.958764590743,42883.22474375337,0
59548.07927811302,9989.465941640265,292660.9483405429,12.6571448175353,5,612.3996825595378,10.479301711121163,0,16.775462891062393,6607.68354439229,16597.149486032555,42950.92979208047,0
40873.20830802906,8944.152539403232,1298236.5193831916,17.396861527224843,6,661.0559772560791,8.851079740531066,0,21.882677943943683,29168.980309911505,38113.13284931474,2760.0754587143238,0
89128.00999600503,18432.78186698446,1480893.0730838962,19.308482270384733,6,765.089608058991,1.0847400957648043,0,20.681244726333137,34880.48223094738,53313.26409793184,35814.74589807319,0
85144.59536523356,37700.13221050516,200807.23470698902,9.857339661447437,3,640.6165714818203,0.20772514889053909,0,44.27777482386036,6466.043251568544,44166.175462073705,40978.419903159855,0
61809.58046317251,4554.3697880879145,481830.3672758587,13.85303126462932,3,681.5640620270714,0.6361108098501272,0,7.368388126823651,16433.447123721427,20987.816911809343,40821.76355136317,0
99643.92738438504,24360.384361568147,1120809.1561527,14.020707616198521,6,709.8715526288047,11.582943917752822,0,24.447434982762033,23107.531148736787,47467.915510304934,52176.011874080104,0
74048.75786030109,5091.4243361255185,219351.5392187671,12.563640504748381,4,749.082452858913,0.7271327308304097,0,6.875772778972062,5837.257378179516,10928.681714305036,63120.076145996056,0
40758.44077926179,21003.793894179766,905700.3889390294,14.479472795401733,5,661.6475286564661,1.9273235501625101,0,51.53237830645047,21299.875722004126,42303.66961618389,-1545.2288369220987,1
70829.98408405419,31526.760128193695,1015951.580970772,19.100266781694785,4,788.2546004021641,3.1349547529388784,0,44.51047185155482,30430.85205233824,61957.612180531934,8872.371903522253,0
38972.1540287927,21087.08426477425,1851438.4910628507,13.26234980620782,1,668.8407848005357,6.099456858883312,0,54.10807996190068,165593.41333689992,186680.49760167417,-147708.34357288148,0
89090.00918320358,44997.60552265405,699785.3431521733,9.653356737096482,4,733.9047191175453,1.4410154599190594,0,50.50802658480092,17632.09560356597,62629.70112622002,26460.308056983566,0
58667.03016107652,12197.250221547578,420470.0995265654,15.98539480948008,2,686.7059812621358,12.443100811978322,0,20.790638605804215,20584.589825326686,32781.84004687426,25885.190114202254,0
55210.68473692857,21851.9311105829,114265.6915660514,8.37649429440082,1,751.8633817536235,3.0195862960584408,1,39.57917061652901,9959.69520428459,31811.62631486749,23399.058422061076,0
44164.71942255561,8977.673601788518,331055.4014829321,19.281383173899858,2,841.9255308430368,17.83488018141704,0,20.32770437392042,16733.33872619557,25711.012327984085,18453.707094571524,0
104010.11610230616,51391.980195079035,1526645.3977601998,19.278651873083888,3,680.5680088391059,3.8376677743338563,0,49.4105593964812,56176.05986231626,107568.0400573953,-3557.923955089136,0
55969.46618239489,14293.282741599125,945351.5766856786,9.105711242995167,6,698.8789122411551,7.10651314449925,0,25.537643498367068,17090.110512983298,31383.39325458242,24586.07292781247,0
49481.4099390519,11773.793272925523,477577.58119947393,14.61064215008458,2,669.7580736170136,3.6060093072787422,0,23.794377095211605,23067.886877539775,34841.6801504653,14639.7297885866,0
51207.42107955972,25963.922594788324,1872752.6192119275,17.568684420950575,6,658.983674080931,1.0260501889986937,0,50.70343721166667,42257.99012808589,68221.91272287421,-17014.491643314497,0
76239.80454949278,35708.44822088667,1596322.805033576,13.574941756952224,2,651.0492235435795,7.530047793085081,0,46.837014380992706,76323.90357688697,112032.35179777363,-35792.547248280855,0
70724.66575432,37710.87105878346,317292.9135647113,13.745259614611072,6,698.6947216868612,1.1290375507149126,0,53.320677668215076,6494.853393067152,44205.72445185061,26518.941302469386,0
72245.80315174792,6014.0327287614255,611018.974297364,19.64240004206757,4,645.6115166183754,20.62733737131159,0,8.324404278722342,18477.311939576757,24491.344668338184,47754.45848340974,0
72836.26768051628,12503.761212983265,1713938.816799962,10.7660971157573,1,647.7355903149709,0.047664480608209214,0,17.166943901942993,151293.82094769782,163797.58216068108,-90961.3144801648,0
157289.17381462207,31525.291989598845,1415620.1688150982,14.315722266771399,1,478.41492131096334,19.283892864908545,1,20.04288739335228,127314.84495464963,158840.13694424846,-1550.9631296263833,0
